symbol,category,name
AAPL,Electronic Technology,Apple Inc
MSFT,Technology Services,Microsoft Corp.
AMZN,Retail Trade,AMAZON COM INC
GOOG,Technology Services,Alphabet Inc (Google) Class C
GOOGL,Technology Services,Alphabet Inc (Google) Class A
FB,Technology Services,FACEBOOK INC
TSLA,Consumer Durables,TESLA INC
BABA,Retail Trade,Alibaba Group Holdings Ltd.
TSM,Electronic Technology,TAIWAN SEMICONDUCTOR MANUFACTURING SPON ADS EACH REP 5 ORD TWD10
BRK.A,Finance,BERKSHIRE HATHAWAY INC
BRK.B,Finance,BERKSHIRE HATHAWAY INC
V,Finance,VISA INC
JNJ,Health Technology,JOHNSON & JOHNSON
JPM,Finance,JPMORGAN CHASE & CO.
WMT,Retail Trade,WALMART INC
NVDA,Electronic Technology,NVIDIA CORP
DIS,Consumer Services,WALT DISNEY COMPANY (THE)
MA,Finance,MASTERCARD INCORPORATED
PYPL,Technology Services,PAYPAL HOLDINGS INC
UNH,Health Services,UNITEDHEALTH GROUP INC
PG,Consumer Non-Durables,PROCTER & GAMBLE CO
HD,Retail Trade,HOME DEPOT INC
BAC,Finance,BANK OF AMERICA CORPORATION
NFLX,Consumer Services,NETFLIX INC
CMCSA,Consumer Services,COMCAST CORP
INTC,Electronic Technology,INTEL CORP
ADBE,Technology Services,ADOBE INC
ASML,Producer Manufacturing,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012
VZ,Communications,VERIZON COMMUNICATIONS
NKE,Consumer Non-Durables,NIKE INC
ABT,Health Technology,ABBOTT LABORATORIES
CRM,Technology Services,SALESFORCE.COM INC
XOM,Energy Minerals,EXXON MOBIL CORPORATION
TM,Consumer Durables,TOYOTA MOTOR CORP ADR-EACH REP 2 ORD NPV LVLIII(SPON)
KO,Consumer Non-Durables,COCA-COLA CO
NVS,Health Technology,NOVARTIS AG ADR-EACH REPR 1 CHF0.5(REGD)
T,Communications,AT&T INC
CSCO,Technology Services,CISCO SYSTEMS INC
LLY,Health Technology,ELI LILLY AND COMPANY
PFE,Health Technology,PFIZER INC
TMO,Health Technology,THERMO FISHER SCIENTIFIC INC
PEP,Consumer Non-Durables,PEPSICO INC
AVGO,Electronic Technology,BROADCOM INC
MRK,Health Technology,MERCK & CO INC
ORCL,Technology Services,ORACLE CORP
ABBV,Health Technology,ABBVIE INC
SHOP,Retail Trade,SHOPIFY INC
CVX,Energy Minerals,CHEVRON CORPORATION
ACN,Technology Services,ACCENTURE PLC
DHR,Health Technology,DANAHER CORP
PDD,Retail Trade,PINDUODUO INC SPON ADS EACH REP 4 ORD SHS
QCOM,Electronic Technology,QUALCOMM INC
NEE,Utilities,NEXTERA ENERGY INC
TXN,Electronic Technology,TEXAS INSTRUMENTS INC
MCD,Consumer Services,MCDONALD'S CORPORATION
MDT,Health Technology,MEDTRONIC PLC
COST,Retail Trade,COSTCO WHOLESALE CORP
SAP,Technology Services,SAP SE SPON ADR EACH REP 1 ORD NPV
TMUS,Communications,T-MOBILE US INC
HDB,Finance,HDFC BANK LTD SPON ADS EACH REP 3 ORD SHS
UL,Consumer Non-Durables,UNILEVER PLC ADS-EA REPR 1 ORD GPB0.03111
UPS,Transportation,UNITED PARCEL SERVICE INC
HON,Producer Manufacturing,HONEYWELL INTERNATIONAL INC
SNE,Consumer Durables,SONY CORP SPON ADR EACH REPR 1 ORD
AMGN,Health Technology,AMGEN INC
WFC,Finance,WELLS FARGO & COMPANY
UNP,Transportation,UNION PACIFIC CORP
BMY,Health Technology,BRISTOL-MYERS SQUIBB CO
PM,Consumer Non-Durables,PHILIP MORRIS INTERNATIONAL INC
LIN,Process Industries,LINDE PLC
C,Finance,CITIGROUP INC
AZN,Health Technology,ASTRAZENECA SPON ADR EACH REP 0.50 ORD SHS
LOW,Retail Trade,LOWE'S COMPANIES INC
JD,Retail Trade,JD.COM INC SPON ADS EACH REPR 2 ORD SHS CLASS A
NVO,Health Technology,NOVO NORDISK A/S ADR-EACH CNV INTO 1 CLASS B DKK1
ZM,Technology Services,ZOOM VIDEO COMMUNICATIONS INC
ABNB,Technology Services,AIRBNB INC
SBUX,Consumer Services,STARBUCKS CORP
BA,Electronic Technology,BOEING CO
SNY,Health Technology,SANOFI SPON ADR ECH REP 0.5 ORD SHS
RY,Finance,ROYAL BANK OF CANADA
CHTR,Consumer Services,CHARTER COMMUNICATIONS INC
MS,Finance,MORGAN STANLEY
UBER,Technology Services,UBER TECHNOLOGIES INC
SQ,Technology Services,SQUARE INC
NOW,Technology Services,SERVICENOW INC
AMD,Electronic Technology,Advanced Micro Devices Inc
HSBC,Finance,HSBC HOLDINGS PLC ADR EACH REPR 5 ORD USD0.50
TOT,Energy Minerals,TOTAL SE SPON ADS EA REP 1 ORD SHS
BLK,Finance,BLACKROCK INC
RTX,Electronic Technology,RAYTHEON TECHNOLOGIES CORPORATION
IBM,Technology Services,INTERNATIONAL BUS MACH CORP
INTU,Technology Services,INTUIT INC
CAT,Producer Manufacturing,CATERPILLAR INC
TD,Finance,TORONTO-DOMINION BANK
BUD,Consumer Non-Durables,ANHEUSER-BUSCH INBEV SA/NV ADR EAH REP 1 ORD NPV
MMM,Producer Manufacturing,3M COMPANY
GS,Finance,GOLDMAN SACHS GROUP INC
AXP,Finance,AMERICAN EXPRESS CO
EL,Consumer Non-Durables,ESTEE LAUDER COMPANIES INC
